date,crypto_market_return,rolling_tail_risk,risk_score,valid_history_count,risk_score_available,risk_score_ready,history_start_date,history_end_date,rebalance_month,tail_risk_source_date
2020-01-31,,,,0,False,False,,,2020-01,
2020-02-28,,,,0,False,False,,,2020-02,
2020-03-31,0.0051806646379371,0.149517434550799,,30,False,False,2020-03-01,2020-03-30,2020-03,2020-03-31
2020-04-30,-0.0513229923514721,0.1375276453502318,25.0,60,True,True,2020-03-01,2020-04-29,2020-04,2020-04-30
2020-05-29,0.0008677571037473,0.0594145438126023,1.1235955056179776,89,True,True,2020-03-01,2020-05-28,2020-05,2020-05-29
2020-06-30,-0.0043853205374725,0.0569063282304659,2.479338842975207,121,True,True,2020-03-01,2020-06-29,2020-06,2020-06-30
2020-07-31,0.0195008109334177,0.036325914903122,0.6578947368421052,152,True,True,2020-03-01,2020-07-30,2020-07,2020-07-31
2020-08-31,0.0065208605455265,0.0535725067702319,29.508196721311474,183,True,True,2020-03-01,2020-08-30,2020-08,2020-08-31
2020-09-30,-0.0014347919521085,0.0740437214573282,69.01408450704226,213,True,True,2020-03-01,2020-09-29,2020-09,2020-09-30
2020-10-30,-0.0186650285000405,0.0670023862177375,48.148148148148145,243,True,True,2020-03-01,2020-10-29,2020-10,2020-10-30
2020-11-30,0.0709751041699182,0.0512065765982523,27.37226277372263,274,True,True,2020-03-01,2020-11-29,2020-11,2020-11-30
2020-12-31,-0.0107346310486527,0.0950169251794809,80.32786885245902,305,True,True,2020-03-01,2020-12-30,2020-12,2020-12-31
2021-01-29,0.0282664647764159,0.1082779977240067,80.83832335329342,334,True,True,2020-03-01,2021-01-28,2021-01,2021-01-29
2021-02-26,0.0024429722756437,0.1011100516469831,76.24309392265194,362,True,True,2020-03-01,2021-02-25,2021-02,2021-02-26
2021-03-31,0.0663974631084241,0.0721050474222789,43.54430379746835,395,True,True,2020-03-01,2021-03-30,2021-03,2021-03-31
2021-04-30,0.0761581029222821,0.0665231499094032,34.8235294117647,425,True,True,2020-03-01,2021-04-29,2021-04,2021-04-30
2021-05-28,-0.0836416126704038,0.1494506335886626,93.37748344370861,453,True,True,2020-03-01,2021-05-27,2021-05,2021-05-28
2021-06-30,0.0102292838351379,0.1683440029788646,100.0,486,True,True,2020-03-01,2021-06-29,2021-06,2021-06-30
2021-07-30,0.0290785464185126,0.0918319470264436,60.07751937984496,516,True,True,2020-03-01,2021-07-29,2021-07,2021-07-30
2021-08-31,0.0339264614578467,0.0566624258194645,16.240875912408757,548,True,True,2020-03-01,2021-08-30,2021-08,2021-08-31
2021-09-30,0.0398538665734791,0.0897193866592784,63.148788927335644,578,True,True,2020-03-01,2021-09-29,2021-09,2021-09-30
2021-10-29,0.029088612824405,0.088803821425399,60.79077429983526,607,True,True,2020-03-01,2021-10-28,2021-10,2021-10-29
2021-11-30,0.0029870595108775,0.0669718047226076,29.42097026604069,639,True,True,2020-03-01,2021-11-29,2021-11,2021-11-30
2021-12-31,-0.0152674709140039,0.0780920808393098,51.7910447761194,670,True,True,2020-03-01,2021-12-30,2021-12,2021-12-31
2022-01-31,0.0145357261444601,0.0823514270204458,57.34664764621969,701,True,True,2020-03-01,2022-01-30,2022-01,2022-01-31
2022-02-28,0.1008640657054067,0.0728313155296015,39.09465020576132,729,True,True,2020-03-01,2022-02-27,2022-02,2022-02-28
2022-03-31,-0.0307725034172582,0.0597575067252199,19.210526315789473,760,True,True,2020-03-01,2022-03-30,2022-03,2022-03-31
2022-04-29,-0.0364686738383626,0.0661928736832527,24.20785804816223,789,True,True,2020-03-01,2022-04-28,2022-04,2022-04-29
2022-05-31,0.0117283875752562,0.1036648531803156,81.97320341047502,821,True,True,2020-03-01,2022-05-30,2022-05,2022-05-31
2022-06-30,-0.0073649030023372,0.1139390110615981,85.19388954171563,851,True,True,2020-03-01,2022-06-29,2022-06,2022-06-30
2022-07-29,-0.0058291833444396,0.0824508483960887,58.18181818181818,880,True,True,2020-03-01,2022-07-28,2022-07,2022-07-29
2022-08-31,0.0032082975179153,0.0663977996623439,23.548740416210297,913,True,True,2020-03-01,2022-08-30,2022-08,2022-08-31
2022-09-30,-0.0044917314722474,0.0758514931612161,49.09862142099682,943,True,True,2020-03-01,2022-09-29,2022-09,2022-09-30
2022-10-31,0.0012976892075733,0.058649471885812,12.73100616016427,974,True,True,2020-03-01,2022-10-30,2022-10,2022-10-31
2022-11-30,0.0341222829166341,0.0700362604327545,32.47011952191235,1004,True,True,2020-03-01,2022-11-29,2022-11,2022-11-30
2022-12-30,0.0004119472554617,0.0761424976847595,52.804642166344294,1034,True,True,2020-03-01,2022-12-29,2022-12,2022-12-30
2023-01-31,0.0197061665623765,0.0449970734859114,8.25515947467167,1066,True,True,2020-03-01,2023-01-30,2023-01,2023-01-31
2023-02-28,-0.0127151981991243,0.044675002809092,9.049360146252285,1094,True,True,2020-03-01,2023-02-27,2023-02,2023-02-28
2023-03-31,0.0224968550148182,0.0497258828840727,12.088888888888889,1125,True,True,2020-03-01,2023-03-30,2023-03,2023-03-31
2023-04-28,0.0037363224626084,0.05047375546635,14.570685169124022,1153,True,True,2020-03-01,2023-04-27,2023-04,2023-04-28
2023-05-31,-0.0109683341330057,0.0375670090484977,2.6138279932546373,1186,True,True,2020-03-01,2023-05-30,2023-05,2023-05-31
2023-06-30,0.0940490495503308,0.0485413030948913,14.473684210526317,1216,True,True,2020-03-01,2023-06-29,2023-06,2023-06-30
2023-07-31,-0.0172327351103575,0.0536787739702087,23.416198877305533,1247,True,True,2020-03-01,2023-07-30,2023-07,2023-07-31
2023-08-31,-0.0380126905259704,0.0505246989841056,19.483568075117372,1278,True,True,2020-03-01,2023-08-30,2023-08,2023-08-31
2023-09-29,0.0054340946709244,0.0440244649195958,9.793420045906656,1307,True,True,2020-03-01,2023-09-28,2023-09,2023-09-29
2023-10-31,0.0095851514620795,0.0236328519184651,0.07468259895444362,1339,True,True,2020-03-01,2023-10-30,2023-10,2023-10-31
2023-11-30,-0.0037351383341257,0.0326788061359547,3.6523009495982466,1369,True,True,2020-03-01,2023-11-29,2023-11,2023-11-30
2023-12-29,-0.0185700018006947,0.0414113184004166,11.516452074391989,1398,True,True,2020-03-01,2023-12-28,2023-12,2023-12-29
