date,strategy,return
2023-01-03,Base Min-Variance,0.0004410127176900775
2023-01-04,Base Min-Variance,0.008774952959001053
2023-01-05,Base Min-Variance,0.0015073404261656087
2023-01-06,Base Min-Variance,0.015201859317797094
2023-01-09,Base Min-Variance,-0.016470456490020106
2023-01-10,Base Min-Variance,0.0021595576508128375
2023-01-11,Base Min-Variance,0.0026736976449378146
2023-01-12,Base Min-Variance,-0.0027359438840224405
2023-01-13,Base Min-Variance,0.002387228414221573
2023-01-17,Base Min-Variance,-0.006647209589430586
2023-01-18,Base Min-Variance,-0.017321909119041953
2023-01-19,Base Min-Variance,-0.0017170579834632107
2023-01-20,Base Min-Variance,0.008824284190004788
2023-01-23,Base Min-Variance,0.002649455535015022
2023-01-24,Base Min-Variance,-0.002417016214714906
2023-01-25,Base Min-Variance,-0.0015138156859288356
2023-01-26,Base Min-Variance,0.00022059956842631782
2023-01-27,Base Min-Variance,-0.005807184158800238
2023-01-30,Base Min-Variance,-0.003915444216456519
2023-01-31,Base Min-Variance,0.007437601525478721
2023-02-01,Base Min-Variance,-0.01886942479295161
2023-02-02,Base Min-Variance,-0.011544241863469532
2023-02-03,Base Min-Variance,-0.009416283634795962
2023-02-06,Base Min-Variance,-0.001561459202358107
2023-02-07,Base Min-Variance,0.007996333995979139
2023-02-08,Base Min-Variance,-0.007441180376151988
2023-02-09,Base Min-Variance,-0.001290714249700661
2023-02-10,Base Min-Variance,0.012148789214088377
2023-02-13,Base Min-Variance,0.008012670178112465
2023-02-14,Base Min-Variance,-0.0069663210159526135
2023-02-15,Base Min-Variance,-0.00039083934941019325
2023-02-16,Base Min-Variance,-0.012952413734386147
2023-02-17,Base Min-Variance,0.013574110681748755
2023-02-21,Base Min-Variance,-0.004636746693761399
2023-02-22,Base Min-Variance,-0.004540384146178614
2023-02-23,Base Min-Variance,0.0026782781068560337
2023-02-24,Base Min-Variance,-0.0068809388506369555
2023-02-27,Base Min-Variance,0.00014481544637413773
2023-02-28,Base Min-Variance,-0.010362245227100945
2023-03-01,Base Min-Variance,0.00030100498865105285
2023-03-02,Base Min-Variance,0.005820691339743874
2023-03-03,Base Min-Variance,0.0038908792773936695
2023-03-06,Base Min-Variance,0.009323279138875575
2023-03-07,Base Min-Variance,-0.010730891049097647
2023-03-08,Base Min-Variance,-0.0068353061347535635
2023-03-09,Base Min-Variance,-0.011563321109050494
2023-03-10,Base Min-Variance,-0.0031232630429789054
2023-03-13,Base Min-Variance,0.00590513934007257
2023-03-14,Base Min-Variance,0.006991599531113126
2023-03-15,Base Min-Variance,0.0043094769447885786
2023-03-16,Base Min-Variance,0.0015795361418501049
2023-03-17,Base Min-Variance,-0.013320540413759187
2023-03-20,Base Min-Variance,0.013262142604325636
2023-03-21,Base Min-Variance,-0.0013397595544512246
2023-03-22,Base Min-Variance,-0.014718455574242093
2023-03-23,Base Min-Variance,0.005739173711150505
2023-03-24,Base Min-Variance,0.01616295621257588
2023-03-27,Base Min-Variance,0.005297686155032046
2023-03-28,Base Min-Variance,-0.0011270075649434238
2023-03-29,Base Min-Variance,0.0065348569697836366
2023-03-30,Base Min-Variance,0.0045620038278035135
2023-03-31,Base Min-Variance,0.006886732311771715
2023-04-03,Base Min-Variance,0.010844624727657307
2023-04-04,Base Min-Variance,0.005516479994875877
2023-04-05,Base Min-Variance,0.015367708808241504
2023-04-06,Base Min-Variance,0.0002111772306787265
2023-04-10,Base Min-Variance,-0.0014402068334635376
2023-04-11,Base Min-Variance,-0.0004959217249270058
2023-04-12,Base Min-Variance,0.001047373830316797
2023-04-13,Base Min-Variance,0.009389831860732847
2023-04-14,Base Min-Variance,-0.0042136022120193226
2023-04-17,Base Min-Variance,0.00011190830433879576
2023-04-18,Base Min-Variance,-0.0018249963708574044
2023-04-19,Base Min-Variance,-0.0007858833744909133
2023-04-20,Base Min-Variance,-0.005130663478276803
2023-04-21,Base Min-Variance,0.005489682289535339
2023-04-24,Base Min-Variance,0.001975869814570269
2023-04-25,Base Min-Variance,-0.00021340412404785932
2023-04-26,Base Min-Variance,-0.019651020360405436
2023-04-27,Base Min-Variance,0.0050932821296204136
2023-04-28,Base Min-Variance,0.003571281301151859
2023-05-01,Base Min-Variance,0.0012108376508718002
2023-05-02,Base Min-Variance,-0.007298864534592144
2023-05-03,Base Min-Variance,-0.009095715895869067
2023-05-04,Base Min-Variance,0.0005076345305740936
2023-05-05,Base Min-Variance,0.01091596645667462
2023-05-08,Base Min-Variance,-0.00023646773615500043
2023-05-09,Base Min-Variance,-0.004618965695153648
2023-05-10,Base Min-Variance,-0.00046926817574130324
2023-05-11,Base Min-Variance,-0.001627009298706249
2023-05-12,Base Min-Variance,0.0013445144992130485
2023-05-15,Base Min-Variance,-0.002948645664214788
2023-05-16,Base Min-Variance,-0.014860495974752641
2023-05-17,Base Min-Variance,-0.001475276738940096
2023-05-18,Base Min-Variance,0.0010648158660630342
2023-05-19,Base Min-Variance,0.00023370086896829737
2023-05-22,Base Min-Variance,-0.005884592306622606
2023-05-23,Base Min-Variance,-0.003417554258851391
2023-05-24,Base Min-Variance,-0.006533656711613747
2023-05-25,Base Min-Variance,-0.012464081473190227
2023-05-26,Base Min-Variance,-0.0008619455437883797
2023-05-30,Base Min-Variance,-0.0036774860913953676
2023-05-31,Base Min-Variance,0.006837789954854182
2023-06-01,Base Min-Variance,-0.0020636290011970867
2023-06-02,Base Min-Variance,0.011833368482638997
2023-06-05,Base Min-Variance,0.002116742461567618
2023-06-06,Base Min-Variance,-0.006416368868531628
2023-06-07,Base Min-Variance,0.0010766637367409769
2023-06-08,Base Min-Variance,0.006300027988825405
2023-06-09,Base Min-Variance,-1.1882394871292517e-05
2023-06-12,Base Min-Variance,-0.00232996783348708
2023-06-13,Base Min-Variance,0.006521178273413488
2023-06-14,Base Min-Variance,0.0015662874697333245
2023-06-15,Base Min-Variance,0.008979622013257957
2023-06-16,Base Min-Variance,0.0002954852378386666
2023-06-20,Base Min-Variance,-0.00788856968559632
2023-06-21,Base Min-Variance,-0.001846855424245853
2023-06-22,Base Min-Variance,0.007975066057573444
2023-06-23,Base Min-Variance,-0.004835006041808871
2023-06-26,Base Min-Variance,0.0006500439100222642
2023-06-27,Base Min-Variance,0.0029457810179327024
2023-06-28,Base Min-Variance,-0.0033673580523902514
2023-06-29,Base Min-Variance,-0.00022861706772994413
2023-06-30,Base Min-Variance,0.006839993701864255
2023-07-03,Base Min-Variance,0.0035176908866559743
2023-07-05,Base Min-Variance,0.001901353776219533
2023-07-06,Base Min-Variance,-0.008190815251024613
2023-07-07,Base Min-Variance,-0.01383626699888303
2023-07-10,Base Min-Variance,0.0009658825257632413
