date,strategy,sentiment_lambda,return
2021-01-04,Base Min-Variance,0.0,0.0027225001381844098
2021-01-05,Base Min-Variance,0.0,0.0012514860281845654
2021-01-06,Base Min-Variance,0.0,0.006354059269710012
2021-01-07,Base Min-Variance,0.0,0.006377463363423082
2021-01-08,Base Min-Variance,0.0,-0.0027210752869220485
2021-01-11,Base Min-Variance,0.0,4.2743055984808404e-07
2021-01-12,Base Min-Variance,0.0,0.0007854960449277587
2021-01-13,Base Min-Variance,0.0,-0.001519223539472583
2021-01-14,Base Min-Variance,0.0,0.004143899158261466
2021-01-15,Base Min-Variance,0.0,-0.004771704456534104
2021-01-19,Base Min-Variance,0.0,0.010897787412164047
2021-01-20,Base Min-Variance,0.0,0.015078393601033616
2021-01-21,Base Min-Variance,0.0,-0.009668493649084862
2021-01-22,Base Min-Variance,0.0,-0.000870345824739046
2021-01-25,Base Min-Variance,0.0,0.0038294842596522413
2021-01-26,Base Min-Variance,0.0,-0.0026775109336415123
2021-01-27,Base Min-Variance,0.0,-0.021155801930376757
2021-01-28,Base Min-Variance,0.0,0.00039098230261080784
2021-01-29,Base Min-Variance,0.0,-0.009691178143303992
2021-02-01,Base Min-Variance,0.0,0.0011175740664108146
2021-02-02,Base Min-Variance,0.0,0.006313404696549481
2021-02-03,Base Min-Variance,0.0,-0.002835655815127383
2021-02-04,Base Min-Variance,0.0,0.0021894634604123515
2021-02-05,Base Min-Variance,0.0,0.014585814804830375
2021-02-08,Base Min-Variance,0.0,0.0029479257949262417
2021-02-09,Base Min-Variance,0.0,-0.00129692573260502
2021-02-10,Base Min-Variance,0.0,-0.0069299043661116555
2021-02-11,Base Min-Variance,0.0,-0.005043822421610798
2021-02-12,Base Min-Variance,0.0,0.004238322700759904
2021-02-16,Base Min-Variance,0.0,-0.009696464119543818
2021-02-17,Base Min-Variance,0.0,0.00673565099072186
2021-02-18,Base Min-Variance,0.0,-0.009763406235186518
2021-02-19,Base Min-Variance,0.0,-0.007689143458152974
2021-02-22,Base Min-Variance,0.0,0.001675635955607858
2021-02-23,Base Min-Variance,0.0,-0.006597228049024441
2021-02-24,Base Min-Variance,0.0,-0.0002045112418909644
2021-02-25,Base Min-Variance,0.0,-0.008819737079818302
2021-02-26,Base Min-Variance,0.0,-0.017495979588488066
2021-03-01,Base Min-Variance,0.0,0.008958028307726656
2021-03-02,Base Min-Variance,0.0,0.0050889776077307144
2021-03-03,Base Min-Variance,0.0,-0.013156512529758241
2021-03-04,Base Min-Variance,0.0,-0.0028007475104767413
2021-03-05,Base Min-Variance,0.0,0.015481873238384543
2021-03-08,Base Min-Variance,0.0,-0.00500816607628339
2021-03-09,Base Min-Variance,0.0,0.006923247764897365
2021-03-10,Base Min-Variance,0.0,0.009303625518426891
2021-03-11,Base Min-Variance,0.0,-0.0004055662252030693
2021-03-12,Base Min-Variance,0.0,0.005082910007558607
2021-03-15,Base Min-Variance,0.0,0.014040113550352484
2021-03-16,Base Min-Variance,0.0,0.005157878787640845
2021-03-17,Base Min-Variance,0.0,-0.009703448530996202
2021-03-18,Base Min-Variance,0.0,-0.007645060951615141
2021-03-19,Base Min-Variance,0.0,-0.0027450325453964412
2021-03-22,Base Min-Variance,0.0,0.009211284052794923
2021-03-23,Base Min-Variance,0.0,-0.00010576838177591905
2021-03-24,Base Min-Variance,0.0,-0.006182208148431467
2021-03-25,Base Min-Variance,0.0,0.0023882779285349853
2021-03-26,Base Min-Variance,0.0,0.01736174204833819
2021-03-29,Base Min-Variance,0.0,0.010903648017203215
2021-03-30,Base Min-Variance,0.0,-0.009540340738859888
2021-03-31,Base Min-Variance,0.0,0.0013422172545206716
2021-04-01,Base Min-Variance,0.0,0.008377451086797561
2021-04-05,Base Min-Variance,0.0,0.011247715511014344
2021-04-06,Base Min-Variance,0.0,0.0002920454357842379
2021-04-07,Base Min-Variance,0.0,-0.0007580535937793091
2021-04-08,Base Min-Variance,0.0,-0.0003394525781473363
2021-04-09,Base Min-Variance,0.0,0.0036309873652749756
2021-04-12,Base Min-Variance,0.0,0.0013958784636895181
2021-04-13,Base Min-Variance,0.0,0.0023664029267610335
2021-04-14,Base Min-Variance,0.0,-0.002812789078208779
2021-04-15,Base Min-Variance,0.0,0.007397136009558206
2021-04-16,Base Min-Variance,0.0,0.0016171956844168182
2021-04-19,Base Min-Variance,0.0,-0.0008252824751908089
2021-04-20,Base Min-Variance,0.0,0.005707019443515803
2021-04-21,Base Min-Variance,0.0,0.004919950532009312
2021-04-22,Base Min-Variance,0.0,0.0010767505633644207
2021-04-23,Base Min-Variance,0.0,0.002653817854619936
2021-04-26,Base Min-Variance,0.0,-0.006496650884104578
2021-04-27,Base Min-Variance,0.0,-0.00510933494786127
2021-04-28,Base Min-Variance,0.0,-0.0002392895121344613
2021-04-29,Base Min-Variance,0.0,0.008338349685934212
2021-04-30,Base Min-Variance,0.0,-0.0013468367262264764
2021-05-03,Base Min-Variance,0.0,0.007923706241422565
2021-05-04,Base Min-Variance,0.0,-0.0044785952593492245
2021-05-05,Base Min-Variance,0.0,0.002231917384692659
2021-05-06,Base Min-Variance,0.0,0.0070540654273317455
2021-05-07,Base Min-Variance,0.0,0.0010114623044069305
2021-05-10,Base Min-Variance,0.0,0.005004330201895753
2021-05-11,Base Min-Variance,0.0,-0.008741003509646397
2021-05-12,Base Min-Variance,0.0,-0.013620847514958607
2021-05-13,Base Min-Variance,0.0,0.012113860874667216
2021-05-14,Base Min-Variance,0.0,0.002860584436575069
2021-05-17,Base Min-Variance,0.0,-0.001241002242700377
2021-05-18,Base Min-Variance,0.0,-0.004357025789158653
2021-05-19,Base Min-Variance,0.0,0.0003469429723296891
2021-05-20,Base Min-Variance,0.0,0.010070668291415681
2021-05-21,Base Min-Variance,0.0,-0.0017313005914778995
2021-05-24,Base Min-Variance,0.0,-0.0014867974503059266
2021-05-25,Base Min-Variance,0.0,-0.0055930285998839115
2021-05-26,Base Min-Variance,0.0,0.0008206279989150102
2021-05-27,Base Min-Variance,0.0,-0.004471106753983708
2021-05-28,Base Min-Variance,0.0,0.0014889068427626614
2021-06-01,Base Min-Variance,0.0,-0.004301630255752224
2021-06-02,Base Min-Variance,0.0,0.0012113258575854812
2021-06-03,Base Min-Variance,0.0,0.00402098605167805
2021-06-04,Base Min-Variance,0.0,0.006029136133364593
2021-06-07,Base Min-Variance,0.0,-0.004168934281336777
2021-06-08,Base Min-Variance,0.0,-0.005446012937681223
2021-06-09,Base Min-Variance,0.0,0.00498660315317103
2021-06-10,Base Min-Variance,0.0,0.008451343311155605
2021-06-11,Base Min-Variance,0.0,0.001946454738785832
2021-06-14,Base Min-Variance,0.0,0.00038195118138956656
2021-06-15,Base Min-Variance,0.0,-0.004490017709589892
2021-06-16,Base Min-Variance,0.0,-0.010757331927752979
2021-06-17,Base Min-Variance,0.0,-0.00024804972033309056
2021-06-18,Base Min-Variance,0.0,-0.010641010246532048
2021-06-21,Base Min-Variance,0.0,0.010318467088858084
2021-06-22,Base Min-Variance,0.0,-0.0009918204053804727
2021-06-23,Base Min-Variance,0.0,-0.007292780032489066
2021-06-24,Base Min-Variance,0.0,0.005091347083247168
2021-06-25,Base Min-Variance,0.0,0.01128974549888372
2021-06-28,Base Min-Variance,0.0,0.0019966030290004336
2021-06-29,Base Min-Variance,0.0,-0.002865202146612789
2021-06-30,Base Min-Variance,0.0,0.007322584665462299
2021-07-01,Base Min-Variance,0.0,0.0036167680571558983
2021-07-02,Base Min-Variance,0.0,0.005052686190572334
2021-07-06,Base Min-Variance,0.0,-0.0021100667854927462
2021-07-07,Base Min-Variance,0.0,0.002326586624364352
2021-07-08,Base Min-Variance,0.0,-0.00484779591788044
2021-07-09,Base Min-Variance,0.0,0.0067872894504550614
2021-07-12,Base Min-Variance,0.0,0.002130871859007279
2021-07-13,Base Min-Variance,0.0,-0.0026923889785028725
2021-07-14,Base Min-Variance,0.0,0.004137033267449091
2021-07-15,Base Min-Variance,0.0,0.0015419909471938423
2021-07-16,Base Min-Variance,0.0,-0.0013487491205565983
2021-07-19,Base Min-Variance,0.0,-0.013677055681203556
2021-07-20,Base Min-Variance,0.0,0.005391369428302573
2021-07-21,Base Min-Variance,0.0,-0.0018420035125994183
2021-07-22,Base Min-Variance,0.0,-0.00011143387645037965
2021-07-23,Base Min-Variance,0.0,0.010255431936296331
2021-07-26,Base Min-Variance,0.0,0.001043348496164395
2021-07-27,Base Min-Variance,0.0,0.0012202392985007286
2021-07-28,Base Min-Variance,0.0,-0.0011596537920751508
2021-07-29,Base Min-Variance,0.0,-0.0005923426380379801
2021-07-30,Base Min-Variance,0.0,-0.002789150917426435
2021-08-02,Base Min-Variance,0.0,-0.0015156543130872271
2021-08-03,Base Min-Variance,0.0,0.0005824077720648496
2021-08-04,Base Min-Variance,0.0,-0.008156314266340402
2021-08-05,Base Min-Variance,0.0,0.004514888417136736
2021-08-06,Base Min-Variance,0.0,-0.0011982446286903398
2021-08-09,Base Min-Variance,0.0,0.0009949059875671669
2021-08-10,Base Min-Variance,0.0,0.004573769521081577
2021-08-11,Base Min-Variance,0.0,0.0042064862793051334
2021-08-12,Base Min-Variance,0.0,0.002657419971270622
2021-08-13,Base Min-Variance,0.0,0.003898441904124698
2021-08-16,Base Min-Variance,0.0,0.006749068945524761
2021-08-17,Base Min-Variance,0.0,0.002725033180190969
2021-08-18,Base Min-Variance,0.0,-0.010885573660783698
2021-08-19,Base Min-Variance,0.0,0.0015623150601576433
2021-08-20,Base Min-Variance,0.0,0.003927079738200677
2021-08-23,Base Min-Variance,0.0,-0.0016163466226120531
2021-08-24,Base Min-Variance,0.0,-0.005277917296298359
2021-08-25,Base Min-Variance,0.0,-0.0035141131426849495
2021-08-26,Base Min-Variance,0.0,-0.00615528035130341
2021-08-27,Base Min-Variance,0.0,0.0017126293225343567
2021-08-30,Base Min-Variance,0.0,0.0038412469800213887
2021-08-31,Base Min-Variance,0.0,0.0036411888184704365
2021-09-01,Base Min-Variance,0.0,0.0010234240804336148
2021-09-02,Base Min-Variance,0.0,0.006263904282801952
2021-09-03,Base Min-Variance,0.0,-0.0011143250511728424
2021-09-07,Base Min-Variance,0.0,-0.013703310098045447
2021-09-08,Base Min-Variance,0.0,0.004249909767384022
2021-09-09,Base Min-Variance,0.0,-0.011057104548063957
2021-09-10,Base Min-Variance,0.0,-0.0074264981173478295
2021-09-13,Base Min-Variance,0.0,-0.0003560585315870784
2021-09-14,Base Min-Variance,0.0,-0.0056752789371385115
2021-09-15,Base Min-Variance,0.0,0.0028667171162233655
2021-09-16,Base Min-Variance,0.0,-0.004637136705538077
2021-09-17,Base Min-Variance,0.0,-0.00787158848966578
2021-09-20,Base Min-Variance,0.0,-0.009112502382195008
2021-09-21,Base Min-Variance,0.0,-0.004185141582473053
2021-09-22,Base Min-Variance,0.0,0.00038817317520234044
2021-09-23,Base Min-Variance,0.0,0.0031936186077835406
2021-09-24,Base Min-Variance,0.0,-0.00262970893672168
2021-09-27,Base Min-Variance,0.0,-0.003332621581023341
2021-09-28,Base Min-Variance,0.0,-0.005486741639929025
2021-09-29,Base Min-Variance,0.0,0.008649871545361256
2021-09-30,Base Min-Variance,0.0,-0.009410545554781503
2021-10-01,Base Min-Variance,0.0,0.014276859037800144
2021-10-04,Base Min-Variance,0.0,0.002519389149286928
2021-10-05,Base Min-Variance,0.0,0.0007847620739257468
2021-10-06,Base Min-Variance,0.0,0.0023317872973472385
2021-10-07,Base Min-Variance,0.0,0.00865759565351592
2021-10-08,Base Min-Variance,0.0,-0.0052233684623567474
2021-10-11,Base Min-Variance,0.0,-0.008764320448290012
2021-10-12,Base Min-Variance,0.0,-0.0007742561423226275
2021-10-13,Base Min-Variance,0.0,0.0006848493146035396
2021-10-14,Base Min-Variance,0.0,0.008794588010921298
2021-10-15,Base Min-Variance,0.0,-0.0007256119885512487
2021-10-18,Base Min-Variance,0.0,-0.001513467898684959
2021-10-19,Base Min-Variance,0.0,0.013456689097559111
2021-10-20,Base Min-Variance,0.0,0.010322408951310941
2021-10-21,Base Min-Variance,0.0,0.005705441313700872
2021-10-22,Base Min-Variance,0.0,0.0025778629711692338
2021-10-25,Base Min-Variance,0.0,0.004506049360775089
2021-10-26,Base Min-Variance,0.0,8.569941182759357e-05
2021-10-27,Base Min-Variance,0.0,-0.010880449583746624
2021-10-28,Base Min-Variance,0.0,0.01833432062944098
2021-10-29,Base Min-Variance,0.0,-0.000714954117773929
2021-11-01,Base Min-Variance,0.0,0.00535150627112325
2021-11-02,Base Min-Variance,0.0,0.004701857507489891
