date,fund,profile,fund_type,gross_return
2021-01-04,balanced_adaptive,balanced,adaptive,1.0084379362944504
2021-01-05,balanced_adaptive,balanced,adaptive,1.0050405427574332
2021-01-06,balanced_adaptive,balanced,adaptive,1.0185066037874664
2021-01-07,balanced_adaptive,balanced,adaptive,1.0125481927765392
2021-01-08,balanced_adaptive,balanced,adaptive,0.9969250688913412
2021-01-11,balanced_adaptive,balanced,adaptive,0.9830661767675071
2021-01-12,balanced_adaptive,balanced,adaptive,0.9878161364724113
2021-01-13,balanced_adaptive,balanced,adaptive,1.004299813359265
2021-01-14,balanced_adaptive,balanced,adaptive,1.0052645845110117
2021-01-15,balanced_adaptive,balanced,adaptive,0.9944263362793915
2021-01-19,balanced_adaptive,balanced,adaptive,1.012232806019717
2021-01-20,balanced_adaptive,balanced,adaptive,1.0133189936892029
2021-01-21,balanced_adaptive,balanced,adaptive,0.9744061572887601
2021-01-22,balanced_adaptive,balanced,adaptive,1.00481740928082
2021-01-25,balanced_adaptive,balanced,adaptive,1.0000870569392606
2021-01-26,balanced_adaptive,balanced,adaptive,0.9910049443750129
2021-01-27,balanced_adaptive,balanced,adaptive,0.9652996223689215
2021-01-28,balanced_adaptive,balanced,adaptive,1.0142806468081313
2021-01-29,balanced_adaptive,balanced,adaptive,0.9991616284415018
2021-02-01,balanced_adaptive,balanced,adaptive,1.0022371584271936
2021-02-02,balanced_adaptive,balanced,adaptive,1.0115614281500505
2021-02-03,balanced_adaptive,balanced,adaptive,0.996348140208254
2021-02-04,balanced_adaptive,balanced,adaptive,0.9955645619487364
2021-02-05,balanced_adaptive,balanced,adaptive,1.0234497015833854
2021-02-08,balanced_adaptive,balanced,adaptive,1.0143732674423718
2021-02-09,balanced_adaptive,balanced,adaptive,0.9948491717982723
2021-02-10,balanced_adaptive,balanced,adaptive,0.995607741631466
2021-02-11,balanced_adaptive,balanced,adaptive,1.0042103152680106
2021-02-12,balanced_adaptive,balanced,adaptive,1.009314590613321
2021-02-16,balanced_adaptive,balanced,adaptive,0.989640469048503
2021-02-17,balanced_adaptive,balanced,adaptive,1.0079491637316857
2021-02-18,balanced_adaptive,balanced,adaptive,0.9924032941839457
2021-02-19,balanced_adaptive,balanced,adaptive,1.0007664342386309
