decision_date,effective_date,fund,profile,fund_type,turnover
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,
2021-01-29,2021-02-01,balanced_adaptive,balanced,adaptive,0.1668720643418145
2021-02-26,2021-03-01,balanced_adaptive,balanced,adaptive,0.0918048766021969
2021-03-31,2021-04-01,balanced_adaptive,balanced,adaptive,0.5174394829796732
2021-04-30,2021-05-03,balanced_adaptive,balanced,adaptive,0.2147228869521806
2021-05-28,2021-06-01,balanced_adaptive,balanced,adaptive,0.24917650427507823
2021-06-30,2021-07-01,balanced_adaptive,balanced,adaptive,0.31404563399755486
2021-07-30,2021-08-02,balanced_adaptive,balanced,adaptive,0.10205433423578342
2021-08-31,2021-09-01,balanced_adaptive,balanced,adaptive,0.02870697467853481
2021-09-30,2021-10-01,balanced_adaptive,balanced,adaptive,0.31409663827230677
2021-10-29,2021-11-01,balanced_adaptive,balanced,adaptive,0.2935185573670853
2021-11-30,2021-12-01,balanced_adaptive,balanced,adaptive,0.3534538109663506
2021-12-31,2022-01-03,balanced_adaptive,balanced,adaptive,0.11870454809595568
2022-01-31,2022-02-01,balanced_adaptive,balanced,adaptive,0.3133481517125372
2022-02-28,2022-03-01,balanced_adaptive,balanced,adaptive,0.48603398097383627
2022-03-31,2022-04-01,balanced_adaptive,balanced,adaptive,0.40500496409795156
2022-04-29,2022-05-02,balanced_adaptive,balanced,adaptive,0.34853156964465526
2022-05-31,2022-06-01,balanced_adaptive,balanced,adaptive,0.2883142489477609
2022-06-30,2022-07-01,balanced_adaptive,balanced,adaptive,0.4284836682265975
2022-07-29,2022-08-01,balanced_adaptive,balanced,adaptive,0.06865703427029389
2022-08-31,2022-09-01,balanced_adaptive,balanced,adaptive,0.1810237813154221
2022-09-30,2022-10-03,balanced_adaptive,balanced,adaptive,0.3916878417997655
2022-10-31,2022-11-01,balanced_adaptive,balanced,adaptive,0.15452214096281175
2022-11-30,2022-12-01,balanced_adaptive,balanced,adaptive,0.28294316009410037
2022-12-30,2023-01-03,balanced_adaptive,balanced,adaptive,0.21942717229627404
2023-01-31,2023-02-01,balanced_adaptive,balanced,adaptive,0.16496904906481147
2023-02-28,2023-03-01,balanced_adaptive,balanced,adaptive,0.214556086155103
2023-03-31,2023-04-03,balanced_adaptive,balanced,adaptive,0.14282513588007112
2023-04-28,2023-05-01,balanced_adaptive,balanced,adaptive,0.20643678569677867
2023-05-31,2023-06-01,balanced_adaptive,balanced,adaptive,0.3756675188708822
2023-06-30,2023-07-03,balanced_adaptive,balanced,adaptive,0.2227490423776707
2023-07-31,2023-08-01,balanced_adaptive,balanced,adaptive,0.14075933162606097
2023-08-31,2023-09-01,balanced_adaptive,balanced,adaptive,0.41105785062089384
2023-09-29,2023-10-02,balanced_adaptive,balanced,adaptive,0.34212050670557015
2023-10-31,2023-11-01,balanced_adaptive,balanced,adaptive,0.30333866917175883
2023-11-30,2023-12-01,balanced_adaptive,balanced,adaptive,0.2082964853446983
2020-12-31,2021-01-04,balanced_fixed,balanced,fixed,
2021-01-29,2021-02-01,balanced_fixed,balanced,fixed,0.18357171239783315
2021-02-26,2021-03-01,balanced_fixed,balanced,fixed,0.1246098413754171
2021-03-31,2021-04-01,balanced_fixed,balanced,fixed,0.4828318549909891
2021-04-30,2021-05-03,balanced_fixed,balanced,fixed,0.2159318971337825
2021-05-28,2021-06-01,balanced_fixed,balanced,fixed,0.262622984957589
2021-06-30,2021-07-01,balanced_fixed,balanced,fixed,0.30033247416640974
2021-07-30,2021-08-02,balanced_fixed,balanced,fixed,0.07291307072380697
2021-08-31,2021-09-01,balanced_fixed,balanced,fixed,0.054108497204084345
2021-09-30,2021-10-01,balanced_fixed,balanced,fixed,0.28127122524081893
2021-10-29,2021-11-01,balanced_fixed,balanced,fixed,0.27198582043459446
2021-11-30,2021-12-01,balanced_fixed,balanced,fixed,0.32384244581946675
2021-12-31,2022-01-03,balanced_fixed,balanced,fixed,0.14042063112312542
2022-01-31,2022-02-01,balanced_fixed,balanced,fixed,0.3070802779755595
2022-02-28,2022-03-01,balanced_fixed,balanced,fixed,0.46201645340725933
2022-03-31,2022-04-01,balanced_fixed,balanced,fixed,0.3788249057445024
2022-04-29,2022-05-02,balanced_fixed,balanced,fixed,0.3426282779853521
2022-05-31,2022-06-01,balanced_fixed,balanced,fixed,0.2991434010214816
2022-06-30,2022-07-01,balanced_fixed,balanced,fixed,0.4188366480149008
2022-07-29,2022-08-01,balanced_fixed,balanced,fixed,0.05623546794650999
2022-08-31,2022-09-01,balanced_fixed,balanced,fixed,0.152184767552368
2022-09-30,2022-10-03,balanced_fixed,balanced,fixed,0.3480339633806194
2022-10-31,2022-11-01,balanced_fixed,balanced,fixed,0.11830722807141426
2022-11-30,2022-12-01,balanced_fixed,balanced,fixed,0.27866918884175756
2022-12-30,2023-01-03,balanced_fixed,balanced,fixed,0.22304940903257595
2023-01-31,2023-02-01,balanced_fixed,balanced,fixed,0.15719113150284017
2023-02-28,2023-03-01,balanced_fixed,balanced,fixed,0.2065353821231758
2023-03-31,2023-04-03,balanced_fixed,balanced,fixed,0.14174968843091573
2023-04-28,2023-05-01,balanced_fixed,balanced,fixed,0.20500431457831927
2023-05-31,2023-06-01,balanced_fixed,balanced,fixed,0.37146727572332466
2023-06-30,2023-07-03,balanced_fixed,balanced,fixed,0.22067612313511803
2023-07-31,2023-08-01,balanced_fixed,balanced,fixed,0.1340564850752014
2023-08-31,2023-09-01,balanced_fixed,balanced,fixed,0.4141533319681293
2023-09-29,2023-10-02,balanced_fixed,balanced,fixed,0.33559546327409967
2023-10-31,2023-11-01,balanced_fixed,balanced,fixed,0.3003389228954134
2023-11-30,2023-12-01,balanced_fixed,balanced,fixed,0.2082912258001612
2020-12-31,2021-01-04,conservative_adaptive,conservative,adaptive,
2021-01-29,2021-02-01,conservative_adaptive,conservative,adaptive,0.13804763768141123
2021-02-26,2021-03-01,conservative_adaptive,conservative,adaptive,0.07531175804567311
2021-03-31,2021-04-01,conservative_adaptive,conservative,adaptive,0.5441985133671627
2021-04-30,2021-05-03,conservative_adaptive,conservative,adaptive,0.22692279829736328
2021-05-28,2021-06-01,conservative_adaptive,conservative,adaptive,0.24378371580635175
2021-06-30,2021-07-01,conservative_adaptive,conservative,adaptive,0.32215257042724665
2021-07-30,2021-08-02,conservative_adaptive,conservative,adaptive,0.09673609902325528
2021-08-31,2021-09-01,conservative_adaptive,conservative,adaptive,0.03214576936776902
2021-09-30,2021-10-01,conservative_adaptive,conservative,adaptive,0.33794418588523556
2021-10-29,2021-11-01,conservative_adaptive,conservative,adaptive,0.30881200121158825
2021-11-30,2021-12-01,conservative_adaptive,conservative,adaptive,0.35569296400966954
2021-12-31,2022-01-03,conservative_adaptive,conservative,adaptive,0.12536381168591937
2022-01-31,2022-02-01,conservative_adaptive,conservative,adaptive,0.3182538685386788
2022-02-28,2022-03-01,conservative_adaptive,conservative,adaptive,0.5261084488048049
2022-03-31,2022-04-01,conservative_adaptive,conservative,adaptive,0.44321314155713715
2022-04-29,2022-05-02,conservative_adaptive,conservative,adaptive,0.3662015708959321
2022-05-31,2022-06-01,conservative_adaptive,conservative,adaptive,0.29893376312903064
2022-06-30,2022-07-01,conservative_adaptive,conservative,adaptive,0.4327276108558396
2022-07-29,2022-08-01,conservative_adaptive,conservative,adaptive,0.067956527194855
2022-08-31,2022-09-01,conservative_adaptive,conservative,adaptive,0.1762348786824385
2022-09-30,2022-10-03,conservative_adaptive,conservative,adaptive,0.4129593045274865
2022-10-31,2022-11-01,conservative_adaptive,conservative,adaptive,0.15266587982526783
2022-11-30,2022-12-01,conservative_adaptive,conservative,adaptive,0.2915521155094037
