decision_date,effective_date,fund,profile,fund_type,ticker,asset_class,sleeve_weight,portfolio_weight
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,ABBV,Equity,0.062538637585479,0.05572557797990767
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,ABT,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,ADA-USD,Crypto,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,ADBE,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,AEP,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,AMD,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,AMGN,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,AMT,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,BA,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,BCH-USD,Crypto,0.2,0.02178832116788318
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,BTC-USD,Crypto,0.2,0.02178832116788318
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,CAT,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,CCI,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,CMCSA,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,COP,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,CVX,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,D,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,DD,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,DIS,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,DOW,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,DUK,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,EA,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,EOS-USD,Crypto,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,ETC-USD,Crypto,0.10123990630012945,0.011029237967368101
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,ETH-USD,Crypto,0.2,0.02178832116788318
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,GE,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,GILD,Equity,0.17510585996555694,0.15602954638901725
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,GS,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,INTC,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,KO,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,LTC-USD,Crypto,0.09876009369987138,0.010759083200515168
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,MMM,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,MRK,Equity,0.2,0.1782116788321168
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,MS,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,NEE,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,NEM,Equity,0.14035144542193645,0.12506133357578753
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,NKE,Equity,0.030921705864990306,0.027553045572764175
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,NUE,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,NVDA,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,O,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,OXY,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,PLD,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,PSA,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,QCOM,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,SBUX,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,SHW,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,SLB,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,SO,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,T,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,TMUS,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,TRX-USD,Crypto,0.2,0.02178832116788318
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,TTWO,Equity,0.1910823511620372,0.17026553297887367
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,UPS,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,USB,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,V,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,WFC,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,WMT,Equity,0.2,0.1782116788321168
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,XLM-USD,Crypto,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,XOM,Equity,0.0,0.0
2020-12-31,2021-01-04,balanced_adaptive,balanced,adaptive,XRP-USD,Crypto,0.0,0.0
2021-01-29,2021-02-01,balanced_adaptive,balanced,adaptive,ABBV,Equity,0.019738994664860527,0.018184696581968817
2021-01-29,2021-02-01,balanced_adaptive,balanced,adaptive,ABT,Equity,0.0,0.0
2021-01-29,2021-02-01,balanced_adaptive,balanced,adaptive,ADA-USD,Crypto,0.0,0.0
2021-01-29,2021-02-01,balanced_adaptive,balanced,adaptive,ADBE,Equity,0.0,0.0
2021-01-29,2021-02-01,balanced_adaptive,balanced,adaptive,AEP,Equity,0.0,0.0
2021-01-29,2021-02-01,balanced_adaptive,balanced,adaptive,AMD,Equity,0.0,0.0
2021-01-29,2021-02-01,balanced_adaptive,balanced,adaptive,AMGN,Equity,0.0,0.0
2021-01-29,2021-02-01,balanced_adaptive,balanced,adaptive,AMT,Equity,0.0,0.0
2021-01-29,2021-02-01,balanced_adaptive,balanced,adaptive,BA,Equity,0.0,0.0
