fund_name,run_success,daily_observation_count,rebalance_count,weights_sum_valid,non_negative_weights,maximum_asset_weight,max_target_weight_sum_error,max_pretrade_weight_sum_error,fallback_count
equity_equal_weight,True,753,36,True,True,0.02,4.440892098500626e-16,4.440892098500626e-16,0
equity_min_variance,True,753,36,True,True,0.2,2.220446049250313e-16,2.220446049250313e-16,0
equity_max_sharpe,True,753,36,True,True,0.2,4.884981308350689e-15,1.5543122344752192e-15,0
equity_min_cvar,True,753,36,True,True,0.2,2.142730437526552e-13,2.220446049250313e-16,0
crypto_equal_weight,True,1095,36,True,True,0.1,1.1102230246251565e-16,2.220446049250313e-16,0
crypto_min_variance,True,1095,36,True,True,0.2,2.220446049250313e-16,2.220446049250313e-16,0
crypto_max_sharpe,True,1095,36,True,True,0.2,8.881784197001252e-16,4.440892098500626e-16,0
crypto_min_cvar,True,1095,36,True,True,0.2,2.930988785010413e-14,2.220446049250313e-16,0
combined_equal_weight,True,753,36,True,True,0.016666666666666666,1.3322676295501878e-15,1.3322676295501878e-15,0
combined_min_variance,True,753,36,True,True,0.2,2.220446049250313e-16,3.3306690738754696e-16,0
combined_max_sharpe,True,753,36,True,True,0.2,2.353672812205332e-13,1.1102230246251565e-15,0
combined_min_cvar,True,753,36,True,True,0.2,1.2312373343092986e-13,6.661338147750939e-16,0
