Strategy,Transaction Cost (bps),Average Turnover,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown
Base Min-Variance,0,0.14290012019372392,0.05438701656191114,0.12690904431637678,0.4285511474369589,-0.15287896249877553
Base Min-Variance,10,0.14290012019372392,0.05262832693083919,0.1268761751825167,0.41480070513736034,-0.15358719851949265
Base Min-Variance,25,0.14290012019372392,0.04999521864826262,0.12683101850875864,0.39418763040848775,-0.15464869575227325
Base Min-Variance,50,0.14290012019372392,0.04561981224192624,0.12676682889389435,0.3598718421844462,-0.1564155747758994
Naive Contrarian,0,0.36252500276501204,0.06341709679800456,0.13293635916680907,0.47704854560089566,-0.16730255964452168
Naive Contrarian,10,0.36252500276501204,0.05892268946007162,0.13285965308038658,0.4434957347391274,-0.16903389791373957
Naive Contrarian,25,0.36252500276501204,0.052213414107492806,0.13276695235784447,0.39327116560424535,-0.17162551488805267
Naive Contrarian,50,0.36252500276501204,0.041117020731110454,0.13267220238938246,0.3099143602850222,-0.17593053182363838
Final Tail-Risk-Aware Sector-Neutral Tuned,0,0.35512287033445866,0.07921150102756047,0.12998801349527142,0.6093754254536858,-0.12730295697261163
Final Tail-Risk-Aware Sector-Neutral Tuned,10,0.35512287033445866,0.07474144730397025,0.12992587016915444,0.5752622415125032,-0.12787698701764905
Final Tail-Risk-Aware Sector-Neutral Tuned,25,0.35512287033445866,0.06806772665535599,0.12985575168923613,0.5241795282064367,-0.1287376979970476
Final Tail-Risk-Aware Sector-Neutral Tuned,50,0.35512287033445866,0.05702801840277383,0.1298005781927131,0.43935103523271773,-0.13017132539429677
